SYSNO,Author,Advisor,Title_Pt,Subtitle_pt,Title_En,Subtitle_en,Type,Field,Year,Keywords,Subject(Library)
722050,"Dias, Matias Francisco","Lacey, Hugh Matthew",Mentes e maquinas,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1970,NA,NA
722051,"Fadul, Anamaria","Franco, Maria Sylvia de Carvalho",Categorias políticas e econômicas do Segundo Tratado sobre o governo civil : John Locke,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1972,NA,NA
722052,"Felício, Vera Lúcia Gonçalves","Berlinck, Marilena de Souza Chaui",Imaginacao simbolica nos quatro elementos bachelardianos,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1974,NA,NA
722053,"Felix, Francisco Jose Peixoto da Costa","Costa, Newton Carneiro Affonso da",Situacao da linguagem no tractatus de wittgenstein,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1969,NA,NA
722054,"Prado Jr., Bento",NA,Presenca e campo transcedental,consciencia e negatividade na filosofia de bergson,NA,NA,Tese (Livre Docência),FILOSOFIA,1965,NA,NA
722055,"Arantes, Otília Beatriz Fiori","Souza, Gilda de Mello e","Razao, raridade e disparates nas curiosidades esteticas de baudelaire",NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1968,NA,NA
722056,"Giannotti, José Arthur",NA,Alienação do trabalho subjetivo,NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1965,NA,ALIENAÇÃO|TRABALHO|ECONOMIA POLÍTICA
722057,"Gomes, Paulo Emilio Salles","Souza, Gilda de Mello e",Cataguases e cinearte na formacao de humberto mauro,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1972,NA,NA
722058,"Giannotti, José Arthur","Granger, Gilles Gaston",John stuart mill,o psicologismo e a fundamentacao da logica,NA,NA,Tese (Doutorado),FILOSOFIA,1960,NA,NA
722059,"Hegenberg, Leonidas H. B.","Giannotti, José Arthur",Aspectos do problema da mudanca de linguagens formalizadas,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1966,NA,FILOSOFIA DA LINGUAGEM
722060,"Knoll, Victor","Berlinck, Marilena de Souza Chaui",Esboco de uma hermeneutica do imaginario na obra poetica de mario de andrade,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1975,NA,NA
722061,"Kossovitch, Leon","Berlinck, Marilena de Souza Chaui",Forca e retorno em nietszche,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1970,NA,NA
722062,"Kuntz, Rolf Nelson","Franco, Maria Sylvia de Carvalho",Teoria politica de rousseau,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1970,NA,NA
722065,"Mezan, Renato","Berlinck, Marilena de Souza Chaui",Articulacao dos conceitos na psicanalise de sigmund freud,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1977,NA,NA
722067,"Monteiro, João Paulo","Prado Jr., Bento",Ensaios politicos de Hume,"introdução, tradução e notas",NA,NA,Dissertação (Mestrado),FILOSOFIA,1967,NA,NA
722068,"Nascimento, Milton Meira do","Monteiro, João Paulo",O contrato social ou as ilusões do jogo do poder,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,CONTRATO SOCIAL|POLÍTICA (TEORIA)
722069,"Alves, Elias Humberto","Silva, Oswaldo Porchat de Assis Pereira da",Logica e inconsistencia,"um estudo dos calculos ""cn"", 1 ""<ou="" ""pi"" "">ou="" ""omega""",NA,NA,Dissertação (Mestrado),FILOSOFIA,1976,NA,NA
722070,"Monteiro, João Paulo",NA,"Natureza, conhecimento e moral na filosofia de Hume",NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1975,NA,NA
722071,"Moraes, Lafayette de","Lacey, Hugh Matthew",Sobre a logica discursiva de jaskowski,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1970,NA,NA
722072,"Oliveira, Armando Manoel Mora de","Lacey, Hugh Matthew",Implicacoes linguisticas da significacao em husserl,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1970,NA,NA
