SYSNO,Author,Advisor,Title_Pt,Subtitle_pt,Title_En,Subtitle_en,Type,Field,Year,Keywords,Subject(Library)
745176,"Haddad, Fernando","Arantes, Paulo Eduardo",De marx a habermas,o materialismo historico e seu paradigma adequado,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA
745250,"Stange, Mariana Claudia Broens","Prado Jr., Bento",Problema da fundamentacao do conhecimento na filosofia de blaise pascal,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA|EPISTEMOLOGIA
745422,"Silva, Ivanir Cozeniosque","Silva, Franklin Leopoldo e",Esboco poetico sobre goeldi,dialogo feito diretamente com a imagem,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,ESTÉTICA (ARTE)
745449,"Coroa, Pedro Paulo da Costa","Torres Filho, Rubens Rodrigues","Projeto critico, historia da filosofia e filosofia da historia",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA (HISTÓRIA)
745525,"Reis, Maria Cecilia Leonel Gomes dos","Mariconda, Pablo Ruben",Psicologia e Filosofia Primeira - ensaio sobre o metodo de investigacao no De Anima de Aristoteles,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA
745579,"Ferraz Neto, Jose","Mariconda, Pablo Ruben",Ratio media baconiana,aspectos de contingencia na logica da invencao,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA|LÓGICA
745612,"Evora, Fatima Regina Rodrigues","Mariconda, Pablo Ruben",Evolucao do conceito de inercia,de philoponos a galileo,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA
745657,"Barros, Maria Stella Teixeira de","Knoll, Victor",Henrique Alvim Corrêa - correspondências e afinidades,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA|BIOGRAFIAS
745963,"Rocha, Regina Mauricio da","Kossovitch, Leon",Poetica fotografica de Paul Strand,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA
746105,"Costa, Chake Ekizian","Kossovitch, Leon",Trajetoria pictorica de martiros sarian,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA
746182,"Marques, Ubirajara Rancan de Azevedo","Arantes, Paulo Eduardo",Escola francesa de historiografia da filosofia - elementos de formacao,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA|FILOSOFIA MODERNA
746194,"Whitaker, Thereza Assumpcao","Nascimento, Milton Meira do",Tema da felicidade em jean-jacques rousseau,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA
746233,"Moraes, Eliane Robert","Ribeiro, Renato Janine",Retrato impossivel,o corpo desfigurado no modernismo frances,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA
746267,"Tsuji, Marcelo","Costa, Newton Carneiro Affonso da",Logica matematica e os fundamentos da microeconomia,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,LÓGICA MATEMÁTICA|FILOSOFIA|MICROECONOMIA
746268,"Forlin, Eneas Junior","Marton, Scarlett",Duvida metafisica e a constituicao do cogito na obra de Descartes,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA
746275,"Oliva, Luis Cesar Guimaraes","Silva, Franklin Leopoldo e",A questao da graca em Blaise Pascal,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA
746561,"Pondé, Luiz Felipe","Silva, Franklin Leopoldo e",O homem insuficiente - comentarios sobre antropologia pascaliana,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA
746801,"Bueno, Otavio Santos","Chiappin, Jose Raimundo Novaes",Impirismo construtivo,uma reformulacao e defesa,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA|FILOSOFIA DA CIÊNCIA
746941,"Onate, Alberto Marcos","Marton, Scarlett",O crepusculo do sujeito em Nietzsche ou como abrir-se ao filosofar sem metafisica,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA
747266,"Simanke, Richard Theisen","Arantes, Paulo Eduardo",Composicao e estilo da metapsicologia lacaniana,os anos de formacao (1932-1953),NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA|PSICANÁLISE
747442,"Brandão, Eduardo","Marton, Scarlett",Causalidade e perspectiva na obra de maturidade de nietzche,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA|FILOSOFIA
747508,"Coelho, Roseli Aparecida Martins","Chauí, Marilena de Souza",Social democracia,a chantagem do capitalismo,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA|FILOSOFIA POLÍTICA
747590,"Novaes Filho, Moacyr Ayres","Santos, Luiz Henrique Lopes dos","O livre arbitrio da vontade humana e a presciencia divina, segundo Agostinho de Hipona",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA
747832,"Coelho, Maria Cecília de Miranda Nogueira","Knoll, Victor",Górgias,verdade e construção discursiva,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA|SOFISTAS
747880,"Silva, Adriana Hanff da","Kuntz, Rolf Nelson",Natureza humana e experiencia,as bases da sociabilidade segundo adam smith,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA
926713,"Benoit, Lelita Oliveira de Rodriguez","Chauí, Marilena de Souza",A sociologia Comteana,gênese e devir,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,"Comte, Auguste"
927123,"Santos, Paulo Roberto Licht dos","Moura, Carlos Alberto Ribeiro de",A dedução transcendental e o idealismo crítico,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
927333,"André, Carminda Mendes","Felício, Vera Lúcia Gonçalves",Performance,um exercício vertical para o ser-ator (fragmentos de reflexão),NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,ESTÉTICA|ESTÉTICA (ARTE)|TEATRO (REPRESENTAÇÃO)
927379,"Martins, Clélia Aparecida","Silva, Franklin Leopoldo e",O sujeito em Kant,transcendência e moral,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA|ILUMINISMO
927380,"Maria Filho, Valter José","Silva, Franklin Leopoldo e",O conceito de razão na época de sua efetuação,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,ILUMINISMO|FILOSOFIA MODERNA
927381,"Ostrensky, Eunice","Ribeiro, Renato Janine",A obra política de Hobbes na revolução inglesa de 1640,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
927723,"Francisco, Maria de Fátima Simões","Silva, Franklin Leopoldo e","Verdade, ethos, pathos e lexis",ensaios sobre a Retórica de Aristóteles,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA ANTIGA
928220,"Codato, Luciano Nervo","Giannotti, José Arthur",Origens da reflexão transcendental,dois ensaios sobre Kant,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA|ILUMINISMO
928567,"Nobre, Marcos Severino","Terra, Ricardo Ribeiro",A ontologia do estado falso,a dialética negativa de Theodor W Adorno,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,NA
929064,"Martinelli, Ophélia Ramos","Silva, Franklin Leopoldo e","Nome, Alberto Caieiro; profissão, descobridor de imagens",NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA
929219,"Veronezi, Valdir","Silva, Oswaldo Porchat de Assis Pereira da",Sobre o problema do critério de verdade,"epicuristas, estóicos e céticos",NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,CETICISMO|EPICURISMO|ESTOICISMO
929229,"Tassinari, Alberto de Almeida Prado","Terra, Ricardo Ribeiro",Espaço e obra,ensaio sobre a arte moderna,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,ARTES (ENSAIOS)|FILOSOFIA DA ARTE
930100,"Consolim, Márcia Cristina","Nascimento, Maria das Graças de Souza",Razão e história em Voltaire,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
931289,"Suzuki, Márcio","Matos, Luiz Fernando Batista Franklin de",O gênio romântico,crítica e história da filosofia em Friedrich Schlegel,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
931545,"Duarte, André de Macedo","Terra, Ricardo Ribeiro",O pensamento à sombra da ruptura,política e filosofia na refexão de Hannah Arendt,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,POLÍTICA
931591,"Peres, Daniel Tourinho","Giannotti, José Arthur",Kant e a fundamentação do direito político,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
931751,"Garcia, Cláudio Boeira","Ribeiro, Renato Janine",As cidades e suas cenas,a crítica de Rousseau ao Teatro,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,TEATRO (CRÍTICA)|FILOSOFIA MODERNA
934756,"Rosa, Jacira de Freitas","Nascimento, Maria das Graças de Souza",Política e festa popular em Rousseau,a recusa da representação,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
934796,"Abreu, Wilame Gomes de","Nascimento, Milton Meira do",A corrupção das formas de governo nas políticas de Aristóteles,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA ANTIGA
934797,"Santos, Magnólia Costa","Kossovitch, Leon",Nicolas Poussin,idéia da paisagem,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,ARTES|PINTURA
934799,"Tossato, Claudemir Roque","Mariconda, Pablo Rubén",O processo de elaboração das duas primeiras leis keplerianas dos movimentos planetários,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA DA CIÊNCIA
934801,"Laudanna, Mayra","Kossovitch, Leon",A recepção de Ernesto de Fiori pela crítica de arte,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,CRÍTICA DE ARTE
934873,"Pimenta, Pedro Paulo Garrido","Cacciola, Maria Lúcia Mello de Oliveira",A finitude da razão na filosofia prática de Kant,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
934876,"Safatle, Vladimir Pinheiro","Prado Jr., Bento",O amor pela superfície,Jacques Lacan e o aparecimento do sujeito descentrado,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,PSICANÁLISE
937209,"Vasconcelos, Júlio Celso Ribeiro de","Mariconda, Pablo Ruben",Inércia nos discorsi e no dialogo de Galileo Galilei,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,NA
937264,"Cavalcante, Sofia Helena Martins","Matos, Luiz Fernando Franklin de",O princípio apolíneo na obras de George Balanchine,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,BALÉ|DANÇA CLÁSSICA|COREOGRAFIA|ESTÉTICA (ARTE)|FILOSOFIA DA ARTE
944101,"Silva, Hélio Lopes da","Prado Jr., Bento",A imaginação em Kant e Husserl,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA
949712,"Melo, Fernando Jader de Magalhães","Ribeiro, Renato Janine",À sombra do estado universal,a paz do império e a nova ordem mundial na perspectiva hobbesiana: uma desleitura,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
949715,"Mammi, Lorenzo","Silva, Franklin Leopoldo e","Santo Agostinho, o tempo e a música",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA MEDIEVAL|FILOSOFIA
949723,"Escobar, Antonius Iraeo","Nascimento, Milton Meira do",Teoria Leninista do partido,um ensaio exploratório,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA POLÍTICA
950002,"Almeida Júnior, José Benedito de","Nascimento, Maria das Graças de Souza",A questão da educação na obra de Jean-Jacques Rousseau,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA MODERNA
951595,"Yokota, Roberto Kazuo","Kossovitch, Leon","A casa, o palácio",arquitetura moderna na Itália fascista,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,ESTÉTICA DO PROJETO|ARQUITETURA MODERNA|FILOSOFIA
952503,"Volkov, Analice Gebauer","Costa, Newton Carneiro Affonso da",Teorias das categorias e teoria dos conjuntos,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,TEORIA DOS CONJUNTOS|MATEMÁTICA|FILOSOFIA|MATEMÁTICA
964730,"Parraz, Ivonil","Silva, Franklin Leopoldo e",O paradoxo da condição humana em Pascal,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA
966614,"Matos, Luiz Fernando Batista Franklin de",NA,O Filósofo e o comediante,(ensaios sobre literatura e filosofia no século XVIII),NA,NA,Tese (Livre Docência),FILOSOFIA,1997,NA,FILOSOFIA|LITERATURA
966695,"Santos, Antônio Carlos dos","Ribeiro, Renato Janine",A política negada,poder e corrupção em Montesquieu,NA,NA,Dissertação (Mestrado),FILOSOFIA,1997,NA,FILOSOFIA POLÍTICA|POLÍTICA
971573,"Aguiar, Odílio Alves","Ribeiro, Renato Janine",Filosofia e política no pensamento de Hannah Arendt,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA CONTEMPORÂNEA|FILOSOFIA
971620,"Barros, Douglas Ferreira","Nascimento, Maria das Graças de Souza",As razões do poder contrário,o problema do enfraquecimento e da dissolução do Estado no pensamento de Maquiavel,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA|FILOSOFIA DO RENASCIMENTO
971634,"Aranovich, Patrícia Fontoura","Nascimento, Maria das Graças de Souza",Poder e legitimidade em Maquiavel,como fazer um príncipe novo parecer antigo,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA|FILOSOFIA DO RENASCIMENTO
971733,"Monteagudo, Ricardo","Nascimento, Maria das Graças de Souza",Entre o direito e a história,a concepção do legislador em Rousseau,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA|FILOSOFIA MODERNA
971827,"Cortizo, Sérgio Ferreira","Costa, Newton Carneiro Affonso da",Extensões virtuais,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA|FILOSOFIA DA CIÊNCIA
974054,"Andrade, Abrahão Costa","Matos, Olgária Chain Feres",Razão & subjetividade em Paul Ricoeur,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA CONTEMPORÂNEA
974062,"Zaterka, Luciana","Marton, Scarlett",Nietzsche e a perspectiva dos afetos,uma visão fisiológica do conhecimento,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA CONTEMPORÂNEA
974073,"Silva, Paulo Tadeu da","Mariconda, Pablo Rubén",Mersenne e a mecânica do som,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA|MÚSICA|CIÊNCIA|BIOGRAFIAS|MATEMÁTICOS
978752,"Marton, Scarlett",NA,A obra feita e a obra por fazer,(ensaios sobre a filosofia de Nietzche),NA,NA,Tese (Livre Docência),FILOSOFIA,1998,NA,FILOSOFIA CONTEMPORÂNEA
978775,"Terra, Ricardo Ribeiro",NA,Passagens,ensaios sobre a filosofia de Kant,NA,NA,Tese (Livre Docência),FILOSOFIA,1998,NA,"KANT, IMMANUEL|FILOSOFIA MODERNA"
978808,"Rebollo, Regina André","Mariconda, Pablo Rubén",William Harvey e a anatomia do século XVII - ruptura e tradição,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA DA CIÊNCIA
980001,"Musse, Ricardo","Terra, Ricardo Ribeiro",De socialismo científico à teoria crítica,modificações na autocompreensão do marxismo entre 1878 e 1937,NA,NA,Tese (Doutorado),FILOSOFIA,1997,NA,FILOSOFIA POLÍTICA|MARXISMO
984530,"Borges, Luiz Augusto Contador","Matos, Luiz Fernando Batista Franklin de",Marquês de Sade,a filosofia na alcova,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,LITERATURA (ASPECTOS SOCIAIS)|LITERATURA FRANCESA (HISTÓRIA E CRÍTICA)|FILOSOFIA
987419,"Muñoz, Alberto Alonso","Santos, Luiz Henrique Lopes dos",A ordem do mundo e a possibilidade da ação em Aristóteles,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA ANTIGA
992112,"Vasconcellos, Cláudia Maria de","Cardoso, Sérgio",Reflexões morais e política de Michel de Montaigne,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA DO RENASCIMENTO
995211,"Yamaya, Evangelina Ramos Ferreira","Ribeiro, Renato Janine",Computativo sive logica,e as bases da política,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,"HOBBES, THOMAS|FILOSOFIA POLÍTICA|FILOSOFIA"
997330,"Chaimovich, Felipe Soeiro","Matos, Luiz Fernando Franklin de",Escrita e leitura,técnica pedagógica e testemunho filosófico na obra de Shaftesbury,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA (HISTÓRIA)
999121,"Pereira, Rosalie Helena de Souza","Chauí, Marilena de Souza",Avicena,a viagem da alma (uma leitura gnóstico-hermética de Hayy ibn Yaqzân),NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA ORIENTAL
1014533,"Ramos, Angelo Aparecido Zanoni","Estêvão, José Carlos",O conceito de justiça na cidade de Deus de Santo Agostinho,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA MEDIEVAL
1014607,"Ivanov, Andrei","Estêvão, José Carlos",Cogitativa e a disposição do sensível para o intelecto em Santo Tomás de Aquino,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1998,NA,FILOSOFIA MEDIEVAL
1015570,"Ramos, Maurício de Carvalho","Mariconda, Pablo Ruben",Pierre-Louis Moreau de Maupertuis e a geração dos corpos organizados,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA DA CIÊNCIA
1015615,"Moutinho, Luiz Damon Santos","Moura, Carlos Alberto Ribeiro de",A ontologia do mundo vivido,a gênese do sentido em Merleau-Ponty,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,"FILOSOFIA CONTEMPORÂNEA|MERLEAU-PONTY, MAURICE"
1019352,"Fabbrini, Ricardo Nascimento","Kossovitch, Leon",A arte depois das vanguardas,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA DA ARTE
1019378,"Oliveira, Everaldo Vanderlei de","Terra, Ricardo Ribeiro",Os conceitos de crítica e experiência no jovem Benjamin,o programa de 1917-18,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA
1020150,"Santos, Silvia Gombi Borges dos","Nascimento, Milton Meira do",O conceito de violência em Hannah Arendt,a busca por um lugar no mundo,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,POLÍTICA|VIOLÊNCIA (SOCIOLOGIA)
1021798,"França, Fernando Cesar Teixeira","Chauí, Marilena de Souza",Obra de pensamento e democracia,um diálogo com o pensamento de Claude Lefort,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA|FILOSOFIA CONTEMPORÂNEA
1021812,"Bagolin, Luiz Armando","Kossovitch, Leon",Tradução para a língua portuguesa da obra i commentari de Lorenzo Ghiberti - primeiro comentáro,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,HISTÓRIA DA ARTE|MANUSCRITOS
1025179,"Silva, Arlenice Almeida da","Arantes, Paulo Eduardo",O épico moderno,o romance histórico de György Lukács,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA
1026890,"Espíndola, Marcos Aurélio","Scarlato, Francisco Capuano",O fim da coletividade,a reterritorialização de Itá,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,GEOGRAFIA HUMANA|COMUNIDADE URBANA
1028330,"Figueiredo, Vinicius Berlendis de","Giannotti, José Arthur",1762-1772,"estudo sobre a relação entre método, teoria e prática na gênese da crítica Kantiana",NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA MODERNA
1033447,"Carrasco, Alexandre de Oliveira Torres","Chauí, Marilena de Souza",Esboço para leitura merleaupontyana da história,experiência intelectual e experiência histórica nas aventuras da dialética,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,"MERLEAU-PONTY, MAURICE|FILOSOFIA CONTEMPORÂNEA"
1033451,"Frateschi, Yara Adário","Nascimento, Maria das Graças de Souza",Opinião e obediência civil na filosofia de Hobbes,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA MODERNA|FILOSOFIA POLÍTICA
1033463,"Itaparica, André Luís Mota","Marton, Scarlett",Estilo e crítica da moral em Nietzsche,"estudo comparado de ""Humano, demasiado humano"" e ""Para além do bem e mal""",NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA
1033556,"Nascimento, Maria das Graças de Souza",NA,Ilustração e história,o pensamento sobre a história no iluminismo francês,NA,NA,Tese (Livre Docência),FILOSOFIA,1999,NA,FILOSOFIA|ILUMINISMO|HISTÓRIA
1033614,"Guitarrar, Robinson","Plastino, Caetano Ernesto",Relativismo kuhniano quanto à racionalidade científica e acusações de incoerência,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,EPISTEMOLOGIA
1033615,"Tsuji, Marcelo","Costa, Newton Carneiro Affonso da",Propriedades aleatórias de sistemas formais,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA DA CIÊNCIA
1033618,"Marim, Inara Luiza","Nascimento, Maria das Graças de Souza",Equilíbrio da natureza - equilíbrio na sociedade,configurações todo-parte na filosofia de Jean-Jacques Rousseau,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA MODERNA
1057532,"Yamín, Ana Maria Olivera","Nascimento, Milton Meira do","Aspectos da reflexão aristotélica acerca do homem, da cidade e do discurso",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1998,NA,FILOSOFIA ANTIGA|FILOSOFIA GREGA
1059155,"Rodrigues, Victor Hugo Guimarães","Felício, Vera Lúcia Gonçalves",Por uma filosofia do espanto imaginário,uma tentativa de reconstrução através das imagens poéticas da formação do filósofo-sonhador numa perspectiva bachelardiana,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA
1059163,"Batista, Irinéa de Lourdes","Costa, Newton Carneiro Affonso da",A teoria universal de Fermi,da sua reformulação inicial até a reformulação V-A,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA DA CIÊNCIA
1061310,"Freitas, Luís Fernando Viti de","Felício, Vera Lúcia Gonçalves",Os movimentos circulares de Ubu Rei,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA|VIOLÊNCIA (SOCIOLOGIA)
1061346,"Carvalho, Marcelo Silva de","Pereira, Oswaldo Porchat",Conhecimento e objetividade,projeto epistemológico e ontologia na filosofia de Popper,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA
1062015,"Veloso, Cláudio William","Chauí, Marilena de Souza",Aristóteles mimético,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA ANTIGA|FILOSOFIA GREGA
1062211,"Limongi, Maria Isabel de Magalhães Papaterra","Chauí, Marilena de Souza",O homem excêntrico,paixões e virtudes em Thomas Hobbes,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA MODERNA
1062474,"Guide, Mário Luiz","Kuntz, Rolf Nelson",Maquiavel e os partidos,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,PARTIDOS POLÍTICOS (PROCESSO POLÍTICO)|FILOSOFIA POLÍTICA
1068433,"Bezerra, Valter Alnis","Plastino, Caetano Ernesto",Estruturas em busca do equilíbrio,o lugar da metametodologia e o papel da coerência no modelo reticulado de racionalidade científica,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA|METODOLOGIA CIENTÍFICA
1068460,"Cordaro, Madalena Natsuko Hashimoto","Kossovitch, Leon",Escritura e pintura do mundo flutuante,Hishikawa Moronobu e Ukiyo-E Saikaku Ihara e Ukiyo-Zôshi,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA DA ARTE|ARTES|PINTURA|XILOGRAVURA|ESCRITA
1068666,"Piva, Paulo Jonas de Lima","Nascimento, Maria das Graças de Souza",Materialismo e moral em Denis Diderot,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA MODERNA|RELIGIÕES CRISTÃS|MATERIALISMO|ATEÍSMO|MORAL
1069016,"Machado, Everson","Nascimento, Maria das Graças de Souza",As metamorfoses da sedição,religião e política em Hobbes,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,RELIGIÃO|POLÍTICA
1070669,"Barros, Alberto Ribeiro de","Kuntz, Rolf Nelson",Direito e poder em Jean Bodin,o conceito de soberania na formação do Estado moderno,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA POLÍTICA|ESTADO (POLÍTICA)|PODER
1073509,"Couto Filho, Júlio","Silva, Franklin Leopoldo e",Acerca das determinações das concepções de espaço e tempo na correspondência entre Leibniz e Clarke,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA MODERNA|ESPAÇO (FILOSOFIA)|TEMPO (FILOSOFIA)
1073524,"Silva Júnior, Ivo da","Marton, Scarlett",Nietszche e o fim da democracia,uma reviravolta conceitual,NA,NA,Dissertação (Mestrado),FILOSOFIA,2e3,NA,FILOSOFIA CONTEMPORÂNEA|DEMOCRACIA|IDEOLOGIA POLÍTICA
1073535,"Frezzatti Júnior, Wilson Antonio","Marton, Scarlett",A questão do Darwinismo na obra de Friedrich W. Nietzsche,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1999,NA,FILOSOFIA CONTEMPORÂNEA
1073837,"Knudsen, Carlos Alberto","Costa, Newton Carneiro Affonso da",Álgebras de Rosenbloom e fundamentos da matemática,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA|MATEMÁTICA|ÁLGEBRA
1074479,"Eva, Luiz Antonio Alves","Silva, Franklin Leopoldo e","Ceticismo e paradoxo nos ""Ensaios"" de Montaigne",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA DO RENASCIMENTO|CETICISMO|SUBJETIVIDADE
1074558,"Queiroz, Everardo Nóbrega de","Kuntz, Rolf Nelson",O princípio da razoabilidade na Nova Lex Mercatoria,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1999,NA,FILOSOFIA DO DIREITO
1078849,"Attiê Junior, Alfredo","Ribeiro, Renato Janine",Montesquieu,tópica das paixões e estilo 'moraliste',NA,NA,Tese (Doutorado),FILOSOFIA,2e3,NA,FILOSOFIA MODERNA
